epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,145.051,0.55325,0.06937,0.06803,0.44983,0.91413,0.99493,1,0.995,0.91868,0.99493,1,0.995,0.995,0.41768,0.03954,0.01799,0.28689,0.86889,0.000899597,0.000899597,0.000899597
95,146.552,0.56723,0.09453,0.0787,0.46142,0.95336,0.9949,1,0.995,0.93855,0.9949,1,0.995,0.995,0.45668,0.03137,0.01982,0.30178,0.88093,0.000891345,0.000891345,0.000891345
96,148.086,0.53257,0.07598,0.09919,0.44211,0.90768,0.99488,1,0.995,0.92358,0.99488,1,0.995,0.995,0.45252,0.02784,0.02073,0.2863,0.88169,0.000883093,0.000883093,0.000883093
97,149.588,0.58178,0.10575,0.09015,0.43778,0.92844,0.99472,1,0.995,0.93239,0.99472,1,0.995,0.995,0.43103,0.02448,0.02043,0.28643,0.88167,0.000874842,0.000874842,0.000874842
98,151.113,0.57031,0.13337,0.10798,0.48532,0.97409,0.99458,1,0.995,0.90942,0.99458,1,0.995,0.995,0.3862,0.03139,0.0192,0.28442,0.86682,0.00086659,0.00086659,0.00086659
99,152.633,0.51899,0.10579,0.08781,0.45981,0.90809,0.99467,1,0.995,0.92745,0.99467,1,0.995,0.995,0.36477,0.0315,0.02107,0.27201,0.86031,0.000858338,0.000858338,0.000858338
100,154.138,0.5599,0.07699,0.07719,0.45385,0.93175,0.99475,1,0.995,0.94236,0.99475,1,0.995,0.995,0.35667,0.03024,0.02418,0.2454,0.86357,0.000850087,0.000850087,0.000850087
101,155.645,0.50446,0.07228,0.05324,0.41669,0.93667,0.99467,1,0.995,0.93448,0.99467,1,0.995,0.995,0.38702,0.03099,0.02512,0.28538,0.86537,0.000841835,0.000841835,0.000841835
102,157.158,0.56114,0.059,0.07143,0.45882,0.9393,0.99471,1,0.995,0.92493,0.99471,1,0.995,0.995,0.41079,0.02251,0.02542,0.28057,0.86564,0.000833583,0.000833583,0.000833583
103,158.666,0.54339,0.06143,0.05925,0.41257,0.90299,0.99472,1,0.995,0.90088,0.99472,1,0.995,0.995,0.46094,0.0196,0.02292,0.31267,0.8722,0.000825332,0.000825332,0.000825332
104,160.203,0.52779,0.07606,0.08184,0.43486,0.907,0.99476,1,0.995,0.93487,0.99476,1,0.995,0.995,0.41284,0.02281,0.02469,0.30201,0.86489,0.00081708,0.00081708,0.00081708
105,161.727,0.53545,0.0572,0.09845,0.45583,0.93195,0.99486,1,0.995,0.94164,0.99486,1,0.995,0.995,0.33374,0.01817,0.02688,0.29266,0.8488,0.000808828,0.000808828,0.000808828
106,163.25,0.54688,0.07038,0.10077,0.42927,0.90539,0.99484,1,0.995,0.94401,0.99484,1,0.995,0.995,0.37485,0.02005,0.02859,0.27363,0.85736,0.000800577,0.000800577,0.000800577
107,164.795,0.5562,0.08045,0.06433,0.45526,0.92081,0.99484,1,0.995,0.95789,0.99484,1,0.995,0.995,0.35487,0.02215,0.03152,0.27257,0.85933,0.000792325,0.000792325,0.000792325
108,166.315,0.58989,0.06743,0.07614,0.48074,0.92681,0.99475,1,0.995,0.97085,0.99475,1,0.995,0.995,0.33353,0.01762,0.0274,0.26209,0.85161,0.000784073,0.000784073,0.000784073
109,167.843,0.48614,0.06024,0.05659,0.41572,0.89159,0.99468,1,0.995,0.91751,0.99468,1,0.995,0.995,0.33578,0.01629,0.02183,0.25148,0.85079,0.000775822,0.000775822,0.000775822
110,169.374,0.48226,0.09151,0.06952,0.42254,0.89089,0.99471,1,0.995,0.9449,0.99471,1,0.995,0.995,0.33801,0.01905,0.01581,0.25852,0.84931,0.00076757,0.00076757,0.00076757
111,170.891,0.48424,0.06826,0.05902,0.4048,0.91424,0.99486,1,0.995,0.94598,0.99486,1,0.995,0.995,0.31592,0.02757,0.01475,0.2662,0.84601,0.000759318,0.000759318,0.000759318
112,172.411,0.56791,0.06313,0.09075,0.49468,0.95057,0.99486,1,0.995,0.9859,0.99486,1,0.995,0.995,0.28646,0.02713,0.0137,0.24696,0.84468,0.000751067,0.000751067,0.000751067
113,173.921,0.55134,0.07011,0.07026,0.42162,0.91655,0.99491,1,0.995,0.95107,0.99491,1,0.995,0.995,0.30879,0.02679,0.0134,0.27629,0.85001,0.000742815,0.000742815,0.000742815
114,175.428,0.49331,0.06618,0.05899,0.3988,0.90781,0.995,1,0.995,0.96152,0.995,1,0.995,0.995,0.31143,0.02409,0.01397,0.25438,0.84874,0.000734564,0.000734564,0.000734564
115,177.009,0.482,0.08187,0.06973,0.40695,0.92569,0.99504,1,0.995,0.90235,0.99504,1,0.995,0.995,0.34783,0.02023,0.01571,0.27597,0.86441,0.000726312,0.000726312,0.000726312
116,178.517,0.50467,0.04926,0.05135,0.42355,0.9191,0.99507,1,0.995,0.90235,0.99507,1,0.995,0.995,0.3538,0.0125,0.01718,0.27507,0.86385,0.00071806,0.00071806,0.00071806
117,180.052,0.47341,0.05325,0.07396,0.40004,0.89931,0.99496,1,0.995,0.90178,0.99496,1,0.995,0.995,0.35606,0.0143,0.01885,0.30505,0.86396,0.000709809,0.000709809,0.000709809
118,181.56,0.43487,0.04823,0.04301,0.37499,0.90024,0.99495,1,0.995,0.9021,0.99495,1,0.995,0.995,0.40367,0.02384,0.02062,0.29939,0.88102,0.000701557,0.000701557,0.000701557
119,183.11,0.51273,0.10255,0.08602,0.42576,0.91925,0.99472,1,0.995,0.90229,0.99472,1,0.995,0.995,0.42913,0.0366,0.02983,0.31865,0.88722,0.000693305,0.000693305,0.000693305
120,184.655,0.45575,0.06659,0.08852,0.39207,0.89819,0.99486,1,0.995,0.94304,0.99486,1,0.995,0.995,0.39821,0.02643,0.0246,0.30289,0.87588,0.000685054,0.000685054,0.000685054
121,186.16,0.4823,0.08234,0.07815,0.40235,0.92565,0.99493,1,0.995,0.97575,0.99493,1,0.995,0.995,0.34416,0.01164,0.01706,0.28928,0.86203,0.000676802,0.000676802,0.000676802
122,187.696,0.43797,0.04669,0.05628,0.36757,0.90173,0.99499,1,0.995,0.98581,0.99499,1,0.995,0.995,0.31903,0.01266,0.0186,0.28449,0.8596,0.00066855,0.00066855,0.00066855
123,189.261,0.44774,0.06085,0.05816,0.38433,0.89589,0.99507,1,0.995,0.90996,0.99507,1,0.995,0.995,0.35485,0.0222,0.01811,0.29742,0.86727,0.000660299,0.000660299,0.000660299
124,190.789,0.49345,0.09177,0.08072,0.39845,0.90445,0.99516,1,0.995,0.94557,0.99516,1,0.995,0.995,0.33136,0.01929,0.01443,0.27434,0.85835,0.000652047,0.000652047,0.000652047
125,192.297,0.44315,0.06394,0.06693,0.37835,0.88245,0.99514,1,0.995,0.95634,0.99514,1,0.995,0.995,0.31714,0.01872,0.01233,0.23698,0.85369,0.000643795,0.000643795,0.000643795
